MachineName,B_11,E_11,I_11,R_11,B_12,E_12,I_12,R_12
Lexington Staking,1,0,0,0,0,0,1,0
Lexington Staking,1,0,0,0,0,0,1,0
Lexington Staking,1,0,0,0,0,0,1,0
Lexington Staking,1,0,0,0,0,0,1,0
Lietuva,0,1,0,0,1,0,0,0
Lietuva,0,1,0,0,1,0,0,0
Littrateur Antiprelatist,0,0,1,0,0,0,1,0
Littrateur Arthropteris,0,0,1,0,0,0,1,0
Littrateur Arthropteris,0,0,1,0,0,0,1,0
Littrateur Isoptin,1,0,0,0,0,0,1,0
Littrateur Isoptin,0,1,0,0,0,1,0,0
Littrateur Radiov,0,0,0,1,0,0,1,0
Littrateur Ruscaceae,1,0,0,0,0,1,0,0
Littrateur Ruscaceae,1,0,0,0,0,1,0,0
Macrotis,1,0,0,0,0,0,1,0
Magh,1,0,0,0,0,0,1,0
Marmite PRO,0,0,1,0,0,1,0,0
